agent,Ascent,Bind,Breeze,Fracture,Haven,Icebox,Lotus,Pearl,Split,Sunset
Astra,0.0,0.5,1.0,0.0,0.5,0.0,0.8333333333333334,0.3684210526315789,0.4864864864864865,0.5
Breach,0.5,0.375,0.0,0.45161290322580644,0.532608695652174,0.3333333333333333,0.6444444444444445,0.0,0.6956521739130435,0.6111111111111112
Brimstone,0.0,0.5294117647058824,0.0,0.4666666666666667,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
Chamber,1.0,0.4444444444444444,0.5,0.0,0.25,0.0,0.7777777777777778,0.0,0.0,0.625
Clove,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cypher,0.5384615384615384,0.5,0.631578947368421,0.5384615384615384,0.5714285714285714,0.0,0.6666666666666666,0.0,0.6949152542372882,0.7096774193548387
Deadlock,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Fade,0.625,0.625,0.0,0.4,0.5,0.0,0.6458333333333334,0.0,1.0,0.631578947368421
Gekko,1.0,0.5555555555555556,0.0,0.0,0.5,0.5,0.7142857142857143,0.3333333333333333,0.0,0.625
Harbor,0.0,0.5454545454545454,0.3333333333333333,1.0,0.3333333333333333,0.5263157894736842,0.3333333333333333,0.5,0.0,0.5
Iso,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jett,0.6637931034482759,0.5555555555555556,0.5945945945945946,0.5714285714285714,0.5346534653465347,0.49056603773584906,0.5909090909090909,0.4230769230769231,0.6444444444444445,0.5
Kayo,0.6914893617021277,0.7777777777777778,0.45454545454545453,0.5,0.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.5,0.5
Killjoy,0.7083333333333334,1.0,0.0,0.3684210526315789,0.5096153846153846,0.4666666666666667,0.6384615384615384,0.45161290322580644,0.0,0.0
Neon,0.0,1.0,1.0,0.4,0.5,0.0,0.6111111111111112,0.0,0.5,0.0
Omen,0.6752136752136753,0.75,0.8,0.0,0.5348837209302325,0.0,0.6338028169014085,0.0,0.6909090909090909,0.6666666666666666
Phoenix,0.7,1.0,1.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,1.0
Raze,0.6666666666666666,0.5714285714285714,1.0,0.4090909090909091,0.36363636363636365,0.0,0.6528925619834711,0.5,0.6091954022988506,0.7027027027027027
Reyna,0.6666666666666666,0.5,0.8571428571428571,0.0,0.6666666666666666,0.125,0.75,0.5,1.0,1.0
Sage,0.5,0.6153846153846154,0.0,0.5,1.0,0.4074074074074074,0.3333333333333333,0.5,0.7,0.0
Skye,0.5,0.5543478260869565,0.625,0.5,0.42105263157894735,0.5,0.6285714285714286,0.3888888888888889,0.5921052631578947,0.6666666666666666
Sova,0.6857142857142857,0.6,0.7021276595744681,0.0,0.5454545454545454,0.4406779661016949,0.6666666666666666,0.8333333333333334,0.3333333333333333,1.0
Viper,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.0,0.47058823529411764,0.4375,0.6236559139784946,0.4375,0.4878048780487805,0.7777777777777778
Yoru,0.0,0.7142857142857143,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
